Name,Year,Tn,Tx
Abetifi,2021-01-01,21.6,31
Abetifi,2021-01-02,21.1,31
Abetifi,2021-01-03,20.5,30.3
Abetifi,2021-01-04,20.5,30.8
Abetifi,2021-01-05,22,28.6
Abetifi,2021-01-06,22.2,30.2
Abetifi,2021-01-07,20.400000000000002,29.5
Abetifi,2021-01-08,19.7,30.3
Abetifi,2021-01-09,20,31.2
Abetifi,2021-01-10,22,30.3
Abetifi,2021-01-11,21.5,31.400000000000002
Abetifi,2021-01-12,20,30.5
Abetifi,2021-01-13,20.3,30.5
Abetifi,2021-01-14,20.2,32
Abetifi,2021-01-15,21.8,32.4
Abetifi,2021-01-16,21.900000000000002,31
Abetifi,2021-01-17,21.8,30.5
Abetifi,2021-01-18,20,30.2
Abetifi,2021-01-19,20,31.6
Abetifi,2021-01-20,21.400000000000002,31.7
Abetifi,2021-01-21,19.5,31
Abetifi,2021-01-22,19.8,29.8
Abetifi,2021-01-23,20,31
Abetifi,2021-01-24,20.7,31.6
Abetifi,2021-01-25,21,32.2
Abetifi,2021-01-26,22.2,33.5
Abetifi,2021-01-27,22.2,33.7
Abetifi,2021-01-28,20,32.2
Abetifi,2021-01-29,20.5,31.6
Abetifi,2021-01-30,21.1,31
Abetifi,2021-01-31,22.3,31.6
Abetifi,2021-02-01,22.5,32.5
Abetifi,2021-02-02,21,32.7
Abetifi,2021-02-03,22.5,33
Abetifi,2021-02-04,22,33.5
Abetifi,2021-02-05,23,30.5
Abetifi,2021-02-06,22,31.5
Abetifi,2021-02-07,22.2,32.2
Abetifi,2021-02-08,21,32.4
Abetifi,2021-02-09,22.400000000000002,33.5
Abetifi,2021-02-10,22.5,32
Abetifi,2021-02-11,22.7,31.8
Abetifi,2021-02-12,21,29.8
Abetifi,2021-02-13,21.400000000000002,32.2
Abetifi,2021-02-14,21,31.8
Abetifi,2021-02-15,21.6,31.1
Abetifi,2021-02-16,21.5,31
Abetifi,2021-02-17,21.2,32
Abetifi,2021-02-18,21,32
Abetifi,2021-02-19,20.8,31.6
Abetifi,2021-02-20,21.400000000000002,31.8
